Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
6E6293,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,09:30:00,2023-10-07,09:20:00,2023-10-07,A20N
6E393,IndiGo,Bhubaneswar ,BBI,T1,Bengaluru,BLR,09:45:00,2023-10-07,09:35:00,2023-10-07,A20N
6E6137,IndiGo,Chennai ,MAA,T1,Bengaluru,BLR,09:50:00,2023-10-07,09:40:00,2023-10-07,32A
6E2403,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,09:50:00,2023-10-07,09:40:00,2023-10-07,A21N
6E295,IndiGo,Kochi ,COK,T1,Bengaluru,BLR,09:50:00,2023-10-07,09:40:00,2023-10-07,32N
UK898,Vistara,Hyderabad ,HYD,T2,Bengaluru,BLR,09:55:00,2023-10-07,09:55:00,2023-10-07,320
6E7203,IndiGo,Vijayawada ,VGA,T1,Bengaluru,BLR,10:05:00,2023-10-07,09:55:00,2023-10-07,AT7
6E7257,IndiGo,Madurai ,IXM,T1,Bengaluru,BLR,10:10:00,2023-10-07,10:00:00,2023-10-07,AT7
6E7729,IndiGo,Kannur ,CNN,T1,Bengaluru,BLR,10:15:00,2023-10-07,10:05:00,2023-10-07,AT7
6E909,IndiGo,Nagpur ,NAG,T1,Bengaluru,BLR,10:20:00,2023-10-07,10:10:00,2023-10-07,32Q
6E5347,IndiGo,Mangaluru ,IXE,T1,Bengaluru,BLR,10:20:00,2023-10-07,10:10:00,2023-10-07,32N
I51622,AirAsia India,Ranchi ,IXR,T2,Bengaluru,BLR,10:15:00,2023-10-07,10:15:00,2023-10-07,A320
SV866,Saudia Arabian Airlines,Jeddah ,JED,T2,Bengaluru,BLR,10:15:00,2023-10-07,10:15:00,2023-10-07,A333
6E5211,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,10:25:00,2023-10-07,10:15:00,2023-10-07,NA
6E6066,IndiGo,Hyderabad ,HYD,T1,Bengaluru,BLR,10:30:00,2023-10-07,10:20:00,2023-10-07,32Q
6E6799,IndiGo,Ranchi ,IXR,T1,Bengaluru,BLR,10:30:00,2023-10-07,10:20:00,2023-10-07,32N
6E7113,IndiGo,Rajahmundry ,RJA,T1,Bengaluru,BLR,10:35:00,2023-10-07,10:25:00,2023-10-07,AT7
6E308,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,10:45:00,2023-10-07,10:35:00,2023-10-07,32Q
6E358,IndiGo,Mangaluru ,IXE,T1,Bengaluru,BLR,10:45:00,2023-10-07,10:35:00,2023-10-07,32Q
MH104,Malaysia Airlines,Kuala Lumpur ,KUL,T2,Bengaluru,BLR,10:40:00,2023-10-07,10:40:00,2023-10-07,738
I5740,AirAsia India,Delhi ,DEL,T2,Bengaluru,BLR,10:40:00,2023-10-07,10:40:00,2023-10-07,A320
6E144,IndiGo,Varanasi ,VNS,T1,Bengaluru,BLR,10:50:00,2023-10-07,10:40:00,2023-10-07,32Q
UK863,Vistara,Mumbai ,BOM,T2,Bengaluru,BLR,10:50:00,2023-10-07,10:50:00,2023-10-07,320
UK815,Vistara,Delhi ,DEL,T2,Bengaluru,BLR,10:50:00,2023-10-07,10:50:00,2023-10-07,320
6E247,IndiGo,Patna ,PAT,T1,Bengaluru,BLR,11:00:00,2023-10-07,10:50:00,2023-10-07,32N
SQ508,Singapore Airlines,Singapore ,SIN,T2,Bengaluru,BLR,10:55:00,2023-10-07,10:55:00,2023-10-07,7M8
