Time,Flight_no,Arrival,Airlines,Aircraft
07:30:00,QP1325,Ahmedabad (AMD),Akasa Air,7M8
07:35:00,6E405,Raipur (RPR),IndiGo,A320 
07:40:00,I51576,Hyderabad (HYD),AirAsia India,A20N 
07:40:00,6E6404,Indore (IDR),IndiGo,A20N 
07:40:00,6E6439,Kolkata (CCU),IndiGo,A20N 
07:50:00,6E6858,Mangalore (IXE),IndiGo,A20N 
07:55:00,IX1941,Jaipur (JAI),Air India Express,738
08:00:00,UK808,Delhi (DEL),Vistara,320
08:00:00,6E861,Delhi (DEL),IndiGo,A21N 
08:10:00,6E34,Dubai (DXB),IndiGo,A20N 
08:15:00,9I501,Vijayawada (VGA),Alliance Air,AT7
08:20:00,I51982,Siliguri (IXB),AirAsia India,A320 
08:30:00,UK846,Mumbai (BOM),Vistara,321
08:30:00,6E255,Patna (PAT),IndiGo,32N
08:30:00,6E259,Mumbai (BOM),IndiGo,32N
08:35:00,6E6497,Allahabad (IXD),IndiGo,32Q
08:40:00,S5117,Gulbarga (GBI),Star Air,ER4
08:40:00,6E457,Guwahati (GAU),IndiGo,32A
08:40:00,S5127,Gulbarga (GBI),Star Air,ERJ
08:45:00,6E415,Jaipur (JAI),IndiGo,32A
08:55:00,6E6445,Cochin (COK),IndiGo,32N
09:00:00,I5819,Ranchi (IXR),AirAsia India,A20N 
09:00:00,6E442,Kolkata (CCU),IndiGo,32A
09:15:00,6E886,Hyderabad (HYD),IndiGo,32Q
09:15:00,QP1405,Delhi (DEL),Akasa Air,7M8
09:20:00,AI604,Mumbai (BOM),Air India,32N
09:20:00,QP1323,Guwahati (GAU),Akasa Air,7M8
09:20:00,6E452,Siliguri (IXB),IndiGo,32N
09:25:00,6E797,Amritsar (ATQ),IndiGo,32N
09:30:00,UK852,Mumbai (BOM),Vistara,320
09:30:00,6E592,Chennai (MAA),IndiGo,32N
09:35:00,6E7285,Belgaum (IXG),IndiGo,AT7
09:40:00,6E688,Thiruvananthapuram (TRV),IndiGo,32N
09:40:00,6E7102,Kadapa (CDP),IndiGo,AT7
09:45:00,UK868,Delhi (DEL),Vistara,320
09:45:00,6E475,Durgapur (RDP),IndiGo,32Q
09:50:00,AI505,Delhi (DEL),Air India,321
09:50:00,6E7731,Shivamogga (RQY),IndiGo,AT7
09:55:00,6E496,Mangalore (IXE),IndiGo,32A
09:55:00,6E524,Agartala (IXA),IndiGo,32Q
10:15:00,6E488,Mumbai (BOM),IndiGo,32N
10:20:00,6E6583,Goa (GOX),IndiGo,32Q
10:30:00,6E871,Delhi (DEL),IndiGo,32N
10:30:00,6E6533,Bareilly (BEK),IndiGo,32N
10:35:00,EK565,Dubai (DXB),Emirates,77W
10:35:00,6E7203,Madurai (IXM),IndiGo,AT7
10:40:00,UK755,Guwahati (GAU),Vistara,320
10:40:00,6E6137,Kanpur (KNU),IndiGo,32A
10:45:00,6E7257,Tirupati (TIR),IndiGo,AT7
10:50:00,6E7445,Kolhapur (KLH),IndiGo,AT7
10:55:00,I51622,Cochin (COK),AirAsia India,A320 
11:00:00,6E6032,Jodhpur (JDH),IndiGo,32Q
11:00:00,I59105,Delhi (DEL),AirAsia India,A320 
11:05:00,6E807,Vadodara (BDQ),IndiGo,32Q
11:10:00,6E7071,Vijayawada (VGA),IndiGo,AT7
11:15:00,I5741,Delhi (DEL),AirAsia India,A320 
11:20:00,QR8695,Doha (DOH),Qatar Airways,77X
11:20:00,6E232,Shirdi (SAG),IndiGo,32N
11:20:00,6E6535,Bhubaneswar (BBI),IndiGo,32Q
11:25:00,6E336,Raipur (RPR),IndiGo,32Q
11:30:00,UK657,Chandigarh (IXC),Vistara,320
11:30:00,UK816,Delhi (DEL),Vistara,320
11:30:00,6E133,Port Blair (IXZ),IndiGo,32N
11:35:00,6E6189,Chennai (MAA),IndiGo,32Q
11:45:00,AI507,Delhi (DEL),Air India,321
11:45:00,SQ509,Singapore (SIN),Singapore Airlines,7M8
11:50:00,SV867,Jeddah (JED),Saudia,A333 
11:50:00,6E6144,Thiruvananthapuram (TRV),IndiGo,32A
11:55:00,I51562,Bhubaneswar (BBI),AirAsia India,A320 
12:00:00,MH105,Kuala Lumpur (KUL),Malaysia Airlines,738
12:00:00,6E503,Kolkata (CCU),IndiGo,32N
12:00:00,6E869,Delhi (DEL),IndiGo,32Q
12:05:00,AI622,Mumbai (BOM),Air India,321
12:10:00,I51537,Siliguri (IXB),AirAsia India,A320 
12:10:00,6E1167,Colombo (CMB),IndiGo,32N
12:15:00,6E5293,Mumbai (BOM),IndiGo,32Q
12:15:00,6E6595,Ahmedabad (AMD),IndiGo,32Q
12:20:00,6E703,Cochin (COK),IndiGo,32Q
12:20:00,9I896,Hyderabad (HYD),Alliance Air,AT7
12:25:00,6E6507,Rajkot (HSR),IndiGo,32A
12:30:00,6E6366,Visakhapatnam (VTZ),IndiGo,32N
12:35:00,QP1104,Mumbai (BOM),Akasa Air,7M8
12:40:00,6E6491,Hyderabad (HYD),IndiGo,32N
12:45:00,UK881,Goa (GOI),Vistara,320
12:50:00,I51454,Goa (GOI),AirAsia India,A320 
13:00:00,I51426,Hyderabad (HYD),AirAsia India,A320 
13:00:00,6E746,Goa (GOI),IndiGo,32N
13:05:00,6E1127,Male (MLE),IndiGo,32Q
13:15:00,AI501,Delhi (DEL),Air India,32N
13:15:00,6E852,Dehradun (DED),IndiGo,32A
13:15:00,6E7181,Tuticorin (TCR),IndiGo,AT7
13:25:00,SG495,Darbhanga (DBR),SpiceJet,7M8
13:30:00,6E172,Kolkata (CCU),IndiGo,32A
13:30:00,6E6753,Nagpur (NAG),IndiGo,32N
13:35:00,6E196,Lucknow (LKO),IndiGo,32N
13:40:00,6E7267,Tiruchirapalli (TRZ),IndiGo,AT7
13:45:00,SG4005,Shirdi (SAG),SpiceJet,DH8
13:45:00,6E5134,Mumbai (BOM),IndiGo,32Q
13:50:00,6E2401,Delhi (DEL),IndiGo,32Q
14:00:00,6E516,Aurangabad (IXU),IndiGo,32N
14:05:00,I5972,Hyderabad (HYD),AirAsia India,A320 
14:05:00,UK511,Goa (GOX),Vistara,320
14:10:00,6E602,Cochin (COK),IndiGo,32Q
14:10:00,QP1392,Goa (GOX),Akasa Air,7M8
14:15:00,6E687,Udaipur (UDR),IndiGo,32Q
14:15:00,6E7223,Vijayawada (VGA),IndiGo,AT7
14:20:00,I51782,Mumbai (BOM),AirAsia India,A20N 
14:25:00,IX1228,Hyderabad (HYD),Air India Express,738
14:25:00,I5613,Surat (STV),AirAsia India,A320 
14:30:00,QP1377,Kolkata (CCU),Akasa Air,7M8
14:35:00,S5131,Jamnagar (JGA),Star Air,ER4
14:35:00,S5149,Jamnagar (JGA),Star Air,ERJ
14:55:00,AI511,Delhi (DEL),Air India,319
14:55:00,S5159,Bidar (IXX),Star Air,ER4
14:55:00,6E6162,Mangalore (IXE),IndiGo,32N
15:00:00,I5820,Guwahati (GAU),AirAsia India,A20N 
15:00:00,6E5351,Mumbai (BOM),IndiGo,32Q
15:05:00,6E7231,Rajahmundry (RJA),IndiGo,AT7
15:10:00,9I527,Vidyanagar (VDY),Alliance Air,AT7
15:10:00,S5160,Bidar (IXX),Star Air,ERJ
15:20:00,6E6621,Delhi (DEL),IndiGo,32Q
15:30:00,SG498,Patna (PAT),SpiceJet,737
15:35:00,6E851,Chandigarh (IXC),IndiGo,32A
15:35:00,QP1134,Guwahati (GAU),Akasa Air,7M8
15:40:00,I51983,Hyderabad (HYD),AirAsia India,A320 
15:40:00,WY284,Muscat (MCT),Oman Air,332
15:40:00,6E342,Patna (PAT),IndiGo,32N
15:45:00,6E6574,Pune (PNQ),IndiGo,32N
15:45:00,QP1138,Mumbai (BOM),Akasa Air,7M8
15:50:00,SG3998,Puducherry (PNY),SpiceJet,DH8
15:50:00,6E934,Raipur (RPR),IndiGo,32Q
16:05:00,6E6572,Kolkata (CCU),IndiGo,32Q
16:10:00,6E6067,Hyderabad (HYD),IndiGo,32Q
16:10:00,6E6992,Coimbatore (CJB),IndiGo,32Q
16:15:00,I51455,Bhubaneswar (BBI),AirAsia India,A320 
16:15:00,I52461,Chennai (MAA),AirAsia India,A20N 
16:25:00,6E7162,Hubli (HBX),IndiGo,AT7
16:25:00,6E7258,Madurai (IXM),IndiGo,AT7
16:30:00,6E5251,Mumbai (BOM),IndiGo,32Q
16:30:00,6E7449,Vijayawada (VGA),IndiGo,AT7
16:35:00,6E6743,Indore (IDR),IndiGo,32N
16:40:00,6E6012,Chennai (MAA),IndiGo,32A
16:45:00,6E5039,Delhi (DEL),IndiGo,32N
16:45:00,6E7363,Kannur (CNN),IndiGo,AT7
16:50:00,6E239,Ahmedabad (AMD),IndiGo,32Q
16:50:00,6E359,Mangalore (IXE),IndiGo,32Q
16:50:00,6E528,Pune (PNQ),IndiGo,32N
17:00:00,UK508,Mumbai (BOM),Vistara,320
17:05:00,6E969,Visakhapatnam (VTZ),IndiGo,32A
17:10:00,QF68,Sydney (SYD),Qantas,332
17:10:00,6E226,Cochin (COK),IndiGo,32N
17:10:00,9I547,Goa (GOI),Alliance Air,AT7
17:10:00,AI503,Delhi (DEL),Air India,321
17:20:00,6E6628,Thiruvananthapuram (TRV),IndiGo,32Q
17:20:00,6E7226,Belgaum (IXG),IndiGo,AT7
17:30:00,RA226,Kathmandu (KTM),Nepal Airlines,320
17:30:00,6E356,Chennai (MAA),IndiGo,32Q
17:35:00,6E218,Bhopal (BHO),IndiGo,32N
17:40:00,6E6091,Ranchi (IXR),IndiGo,32N
17:45:00,6E6243,Kolkata (CCU),IndiGo,32A
17:50:00,UK820,Delhi (DEL),Vistara,321
18:00:00,6E2174,Delhi (DEL),IndiGo,32Q
18:00:00,6E5255,Mumbai (BOM),IndiGo,32N
18:05:00,6E968,Varanasi (VNS),IndiGo,32Q
18:15:00,6E6145,Cochin (COK),IndiGo,32N
18:15:00,9I521,Cochin (COK),Alliance Air,AT7
18:20:00,6E6017,Chennai (MAA),IndiGo,32N
18:25:00,UK854,Mumbai (BOM),Vistara,320
18:30:00,UK893,Hyderabad (HYD),Vistara,320
18:35:00,6E6885,Pune (PNQ),IndiGo,32N
18:40:00,6E411,Bhubaneswar (BBI),IndiGo,32N
18:45:00,UK802,Delhi (DEL),Vistara,320
18:45:00,6E564,Kozhikode (CCJ),IndiGo,32N
18:50:00,QP1550,Pune (PNQ),Akasa Air,7M8
18:55:00,QP1368,Cochin (COK),Akasa Air,7M8
18:55:00,6E7134,Vijayawada (VGA),IndiGo,AT7
19:00:00,UK864,Mumbai (BOM),Vistara,320
19:10:00,I51532,Delhi (DEL),AIX Connect,320
19:15:00,AI509,Delhi (DEL),Air India,321
19:20:00,AI610,Mumbai (BOM),Air India,321
19:20:00,6E735,Delhi (DEL),IndiGo,32Q
