Flight No,Airline,Scheduled,Estimated time,Departure,DEP_CODE,Gate,Terminal,Arrival,ARR_CODE,
QP1325,Akasa Air,"07:30   07, Oct.","07:30   07, Oct.",Bengaluru,(BLR),,,Ahmedabad  ,AMD,
6E405,IndiGo,"07:35   07, Oct.","07:35   07, Oct.",Bengaluru,(BLR),,,Raipur  ,RPR,
I51576,AirAsia India,"07:40   07, Oct.","07:40   07, Oct.",Bengaluru,(BLR),,T2,Jaipur  ,JAI,
6E6404,IndiGo,"07:40   07, Oct.","07:40   07, Oct.",Bengaluru,(BLR),,,Chandigarh  ,IXC,
6E6439,IndiGo,"07:40   07, Oct.","07:40   07, Oct.",Bengaluru,(BLR),,,Kolkata  ,CCU,
6E6858,IndiGo,"07:50   07, Oct.","07:50   07, Oct.",Bengaluru,(BLR),,,Mangaluru  ,IXE,
UK808,Vistara,"08:00   07, Oct.","08:00   07, Oct.",Bengaluru,(BLR),D9,T2,Delhi  ,DEL,
6E861,IndiGo,"08:00   07, Oct.","08:00   07, Oct.",Bengaluru,(BLR),,,Delhi  ,DEL,
6E6176,IndiGo,"08:00   07, Oct.","08:00   07, Oct.",Bengaluru,(BLR),,,Goa  ,GOX,
IX1941,Air India Express,"08:00   07, Oct.","08:00   07, Oct.",Bengaluru,(BLR),,T2,Jaipur  ,JAI,
6E34,IndiGo,"08:10   07, Oct.","08:10   07, Oct.",Bengaluru,(BLR),D2,T2,Dubai  ,DXB,
9I501,Alliance Air,"08:15   07, Oct.","08:15   07, Oct.",Bengaluru,(BLR),23,,Vijayawada  ,VGA,
I51982,AirAsia India,"08:20   07, Oct.","08:20   07, Oct.",Bengaluru,(BLR),,T2,Bagdogra  ,IXB,
6E255,IndiGo,"08:30   07, Oct.","08:30   07, Oct.",Bengaluru,(BLR),,,Patna  ,PAT,
6E259,IndiGo,"08:30   07, Oct.","08:30   07, Oct.",Bengaluru,(BLR),,,Mumbai  ,BOM,
UK846,Vistara,"08:30   07, Oct.","08:30   07, Oct.",Bengaluru,(BLR),,T2,Mumbai  ,BOM,
6E6497,IndiGo,"08:35   07, Oct.","08:35   07, Oct.",Bengaluru,(BLR),,,Prayagraj  ,IXD,
S5117,Star Air,"08:40   07, Oct.","08:40   07, Oct.",Bengaluru,(BLR),,T2,Kalaburagi  ,GBI,
6E457,IndiGo,"08:40   07, Oct.","08:40   07, Oct.",Bengaluru,(BLR),,,Agartala  ,IXA,
6E415,IndiGo,"08:45   07, Oct.","08:45   07, Oct.",Bengaluru,(BLR),,,Jaipur  ,JAI,
6E6445,IndiGo,"08:55   07, Oct.","08:55   07, Oct.",Bengaluru,(BLR),C1,,Kochi  ,COK,
I5819,AirAsia India,"09:00   07, Oct.","09:00   07, Oct.",Bengaluru,(BLR),,T2,Ranchi  ,IXR,
6E442,IndiGo,"09:00   07, Oct.","09:00   07, Oct.",Bengaluru,(BLR),,,Jorhat  ,JRH,
QP1405,Akasa Air,"09:15   07, Oct.","09:15   07, Oct.",Bengaluru,(BLR),23,,Delhi  ,DEL,
6E886,IndiGo,"09:15   07, Oct.","09:15   07, Oct.",Bengaluru,(BLR),,,Gorakhpur  ,GOP,
6E452,IndiGo,"09:20   07, Oct.","09:20   07, Oct.",Bengaluru,(BLR),,,Bagdogra  ,IXB,
AI604,Air India,"09:20   07, Oct.","09:20   07, Oct.",Bengaluru,(BLR),D21,T2,Mumbai  ,BOM,
QP1323,Akasa Air,"09:20   07, Oct.","09:20   07, Oct.",Bengaluru,(BLR),,,Agartala  ,IXA,
6E797,IndiGo,"09:25   07, Oct.","09:25   07, Oct.",Bengaluru,(BLR),,,Srinagar  ,SXR,
UK852,Vistara,"09:30   07, Oct.","09:30   07, Oct.",Bengaluru,(BLR),,T2,Dehradun  ,DED,
6E592,IndiGo,"09:30   07, Oct.","09:30   07, Oct.",Bengaluru,(BLR),,,Chennai  ,MAA,
6E7285,IndiGo,"09:35   07, Oct.","09:35   07, Oct.",Bengaluru,(BLR),,,Belgaum  ,IXG,
6E688,IndiGo,"09:40   07, Oct.","09:40   07, Oct.",Bengaluru,(BLR),,,Thiruvananthapuram  ,TRV,
6E7102,IndiGo,"09:40   07, Oct.","09:40   07, Oct.",Bengaluru,(BLR),,,Visakhapatnam  ,VTZ,
6E475,IndiGo,"09:45   07, Oct.","09:45   07, Oct.",Bengaluru,(BLR),,,Durgapur  ,RDP,
UK868,Vistara,"09:45   07, Oct.","09:45   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
AI505,Air India,"09:50   07, Oct.","09:50   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
6E496,IndiGo,"09:55   07, Oct.","09:55   07, Oct.",Bengaluru,(BLR),,,Mangaluru  ,IXE,
6E524,IndiGo,"09:55   07, Oct.","09:55   07, Oct.",Bengaluru,(BLR),,,Imphal  ,IMF,
6E488,IndiGo,"10:15   07, Oct.","10:15   07, Oct.",Bengaluru,(BLR),,,Mumbai  ,BOM,
6E6583,IndiGo,"10:20   07, Oct.","10:20   07, Oct.",Bengaluru,(BLR),,,Goa  ,GOX,
6E6533,IndiGo,"10:30   07, Oct.","10:30   07, Oct.",Bengaluru,(BLR),,,Bareilly  ,BEK,
6E871,IndiGo,"10:30   07, Oct.","10:30   07, Oct.",Bengaluru,(BLR),,,Delhi  ,DEL,
6E7203,IndiGo,"10:35   07, Oct.","10:35   07, Oct.",Bengaluru,(BLR),,,Madurai  ,IXM,
EK565,Emirates,"10:35   07, Oct.","10:35   07, Oct.",Bengaluru,(BLR),,T2,Dubai  ,DXB,
6E6137,IndiGo,"10:40   07, Oct.","10:40   07, Oct.",Bengaluru,(BLR),,,Kanpur  ,KNU,
UK755,Vistara,"10:40   07, Oct.","10:40   07, Oct.",Bengaluru,(BLR),,T2,Guwahati  ,GAU,
6E7257,IndiGo,"10:45   07, Oct.","10:45   07, Oct.",Bengaluru,(BLR),,,Tirupati  ,TIR,
6E7445,IndiGo,"10:50   07, Oct.","10:50   07, Oct.",Bengaluru,(BLR),,,Kolhapur  ,KLH,
I51622,AirAsia India,"10:55   07, Oct.","10:55   07, Oct.",Bengaluru,(BLR),,T2,Kochi  ,COK,
6E6032,IndiGo,"11:00   07, Oct.","11:00   07, Oct.",Bengaluru,(BLR),,,Jodhpur  ,JDH,
6E133,IndiGo,"11:05   07, Oct.","11:05   07, Oct.",Bengaluru,(BLR),,,Port Blair  ,IXZ,
6E807,IndiGo,"11:05   07, Oct.","11:05   07, Oct.",Bengaluru,(BLR),,,Vadodara  ,BDQ,
6E7071,IndiGo,"11:10   07, Oct.","11:10   07, Oct.",Bengaluru,(BLR),,,Vijayawada  ,VGA,
I5741,AirAsia India,"11:15   07, Oct.","11:15   07, Oct.",Bengaluru,(BLR),,T2,Srinagar  ,SXR,
6E6535,IndiGo,"11:20   07, Oct.","11:20   07, Oct.",Bengaluru,(BLR),,,Bhubaneswar  ,BBI,
6E232,IndiGo,"11:20   07, Oct.","11:20   07, Oct.",Bengaluru,(BLR),,,Shirdi  ,SAG,
6E336,IndiGo,"11:25   07, Oct.","11:25   07, Oct.",Bengaluru,(BLR),,,Raipur  ,RPR,
UK657,Vistara,"11:30   07, Oct.","11:30   07, Oct.",Bengaluru,(BLR),,T2,Chandigarh  ,IXC,
UK816,Vistara,"11:30   07, Oct.","11:30   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
6E6189,IndiGo,"11:35   07, Oct.","11:35   07, Oct.",Bengaluru,(BLR),,,Chennai  ,MAA,
SQ509,Singapore Airlines,"11:45   07, Oct.","11:45   07, Oct.",Bengaluru,(BLR),,T2,Singapore  ,SIN,
AI507,Air India,"11:45   07, Oct.","11:45   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
SV867,Saudia Arabian Airlines,"11:50   07, Oct.","11:50   07, Oct.",Bengaluru,(BLR),,T2,Jeddah  ,JED,
6E6144,IndiGo,"11:50   07, Oct.","11:50   07, Oct.",Bengaluru,(BLR),,,Thiruvananthapuram  ,TRV,
I51562,AirAsia India,"11:55   07, Oct.","11:55   07, Oct.",Bengaluru,(BLR),,T2,Kolkata  ,CCU,
MH105,Malaysia Airlines,"12:00   07, Oct.","12:00   07, Oct.",Bengaluru,(BLR),,T2,Kuala Lumpur  ,KUL,
6E869,IndiGo,"12:00   07, Oct.","12:00   07, Oct.",Bengaluru,(BLR),,,Delhi  ,DEL,
6E503,IndiGo,"12:00   07, Oct.","12:00   07, Oct.",Bengaluru,(BLR),,,Kolkata  ,CCU,
AI622,Air India,"12:05   07, Oct.","12:05   07, Oct.",Bengaluru,(BLR),,T2,Mumbai  ,BOM,
6E1167,IndiGo,"12:10   07, Oct.","12:10   07, Oct.",Bengaluru,(BLR),,T2,Colombo  ,CMB,
I51537,AirAsia India,"12:10   07, Oct.","12:10   07, Oct.",Bengaluru,(BLR),,T2,Bagdogra  ,IXB,
6E6595,IndiGo,"12:15   07, Oct.","12:15   07, Oct.",Bengaluru,(BLR),,,Ahmedabad  ,AMD,
6E5293,IndiGo,"12:15   07, Oct.","12:15   07, Oct.",Bengaluru,(BLR),,,Mumbai  ,BOM,
6E703,IndiGo,"12:20   07, Oct.","12:20   07, Oct.",Bengaluru,(BLR),,,Kochi  ,COK,
6E6366,IndiGo,"12:30   07, Oct.","12:30   07, Oct.",Bengaluru,(BLR),,,Visakhapatnam  ,VTZ,
QP1104,Akasa Air,"12:35   07, Oct.","12:35   07, Oct.",Bengaluru,(BLR),,,Mumbai  ,BOM,
6E6491,IndiGo,"12:40   07, Oct.","12:40   07, Oct.",Bengaluru,(BLR),,,Hyderabad  ,HYD,
UK881,Vistara,"12:45   07, Oct.","12:45   07, Oct.",Bengaluru,(BLR),,T2,Goa  ,GOI,
6E465,IndiGo,"12:50   07, Oct.","12:50   07, Oct.",Bengaluru,(BLR),,,Surat  ,STV,
I51454,AirAsia India,"12:50   07, Oct.","12:50   07, Oct.",Bengaluru,(BLR),,T2,Goa  ,GOI,
I51426,AirAsia India,"13:00   07, Oct.","13:00   07, Oct.",Bengaluru,(BLR),,T2,Jaipur  ,JAI,
6E746,IndiGo,"13:00   07, Oct.","13:00   07, Oct.",Bengaluru,(BLR),,,Goa  ,GOI,
6E1127,IndiGo,"13:05   07, Oct.","13:05   07, Oct.",Bengaluru,(BLR),,T2,Male  ,MLE,
6E7181,IndiGo,"13:15   07, Oct.","13:15   07, Oct.",Bengaluru,(BLR),,,Thoothukudi ,TCR,  
6E852,IndiGo,"13:15   07, Oct.","13:15   07, Oct.",Bengaluru,(BLR),,,Dehradun  ,DED,
AI501,Air India,"13:15   07, Oct.","13:15   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
SG495,SpiceJet,"13:25   07, Oct.","13:25   07, Oct.",Bengaluru,(BLR),,,Darbhanga  ,DBR,
6E172,IndiGo,"13:30   07, Oct.","13:30   07, Oct.",Bengaluru,(BLR),,,Kolkata  ,CCU,
6E6753,IndiGo,"13:30   07, Oct.","13:30   07, Oct.",Bengaluru,(BLR),,,Nagpur  ,NAG,
6E196,IndiGo,"13:35   07, Oct.","13:35   07, Oct.",Bengaluru,(BLR),,,Lucknow  ,LKO,
6E7267,IndiGo,"13:40   07, Oct.","13:40   07, Oct.",Bengaluru,(BLR),,,Tiruchirappalli ,TRZ,  
6E5134,IndiGo,"13:45   07, Oct.","13:45   07, Oct.",Bengaluru,(BLR),,,Mumbai  ,BOM,
SG4005,SpiceJet,"13:45   07, Oct.","13:45   07, Oct.",Bengaluru,(BLR),,,Shirdi  ,SAG,
6E2401,IndiGo,"13:50   07, Oct.","13:50   07, Oct.",Bengaluru,(BLR),,,Delhi  ,DEL,
6E516,IndiGo,"14:00   07, Oct.","14:00   07, Oct.",Bengaluru,(BLR),,,Aurangabad  ,IXU,
I5972,AirAsia India,"14:05   07, Oct.","14:05   07, Oct.",Bengaluru,(BLR),,T2,Goa  ,GOI,
UK511,Vistara,"14:05   07, Oct.","14:05   07, Oct.",Bengaluru,(BLR),D22,T2,Goa  ,GOX,
6E602,IndiGo,"14:10   07, Oct.","14:10   07, Oct.",Bengaluru,(BLR),,,Kochi  ,COK,
QP1392,Akasa Air,"14:10   07, Oct.","14:10   07, Oct.",Bengaluru,(BLR),,,Goa  ,GOX,
6E687,IndiGo,"14:15   07, Oct.","14:15   07, Oct.",Bengaluru,(BLR),,,Udaipur  ,UDR,
