Time,Flight_no,Departure,Airlines ,Aircraft
12:40:00,6E6523,Ahmedabad (AMD),IndiGo,32N
12:50:00,SG2928,Gwalior (GWL),SpiceJet,DH8
12:50:00,6E196,Cochin (COK),IndiGo,32N
12:50:00,6E661,Thiruvananthapuram (TRV),IndiGo,32N
12:50:00,6E7286,Belgaum (IXG),IndiGo,AT7
13:00:00,6E5069,Mumbai (BOM),IndiGo,32Q
13:10:00,6E6567,Hyderabad (HYD),IndiGo,32Q
13:25:00,6E6584,Goa (GOX),IndiGo,32Q
13:30:00,I5972,Cochin (COK),AirAsia India,A320 
13:35:00,6E6797,Delhi (DEL),IndiGo,32Q
13:40:00,6E7223,Madurai (IXM),IndiGo,AT7
13:45:00,I5942,Jaipur (JAI),AIX Connect,320
13:45:00,QP1373,Siliguri (IXB),Akasa Air,7M8
13:50:00,IX1613,Jaipur (JAI),Air India Express,738
13:50:00,S5132,Jamnagar (JGA),Star Air,ER4
13:50:00,6E6379,Allahabad (IXD),IndiGo,32Q
13:50:00,S5131,Jamnagar (JGA),Star Air,ERJ
14:05:00,WY283,Muscat (MCT),Oman Air,332
14:05:00,6E6162,Patna (PAT),IndiGo,32N
14:10:00,I5820,Ranchi (IXR),AirAsia India,A20N 
14:15:00,6E5382,Mumbai (BOM),IndiGo,32Q
14:20:00,9I506,Cochin (COK),Alliance Air,AT7
14:30:00,S5118,Gulbarga (GBI),Star Air,ER4
14:30:00,6E1056,Bangkok (BKK),IndiGo,32Q
14:35:00,6E7072,Vijayawada (VGA),IndiGo,AT7
14:35:00,S5159,Gulbarga (GBI),Star Air,ERJ
14:40:00,SG497,Patna (PAT),SpiceJet,737
14:40:00,6E6383,Delhi (DEL),IndiGo,32Q
14:45:00,6E6147,Thiruvananthapuram (TRV),IndiGo,32A
15:00:00,6E6609,Shirdi (SAG),IndiGo,32N
15:05:00,I51983,Siliguri (IXB),AirAsia India,A320 
15:10:00,6E6605,Chennai (MAA),IndiGo,32Q
15:10:00,QP1625,Mumbai (BOM),Akasa Air,7M8
15:20:00,QF67,Sydney (SYD),Qantas,332
15:20:00,SG3999,Puducherry (PNY),SpiceJet,DH8
15:20:00,6E455,Kolkata (CCU),IndiGo,32Q
15:25:00,6E6992,Durgapur (RDP),IndiGo,32Q
15:25:00,3U9333,Chongqing (CKG),Sichuan Airlines,33F
15:35:00,I51543,Hyderabad (HYD),AirAsia India,A20N 
15:35:00,6E453,Siliguri (IXB),IndiGo,32N
15:40:00,I51455,Goa (GOI),AirAsia India,A320 
15:45:00,6E337,Raipur (RPR),IndiGo,32Q
15:45:00,6E6536,Bhubaneswar (BBI),IndiGo,32Q
15:50:00,6E381,Goa (GOI),IndiGo,32N
15:55:00,UK882,Goa (GOI),Vistara,320
15:55:00,6E6012,Kanpur (KNU),IndiGo,32A
15:55:00,6E7258,Tirupati (TIR),IndiGo,AT7
16:00:00,6E7106,Kadapa (CDP),IndiGo,AT7
16:00:00,6E7448,Kolhapur (KLH),IndiGo,AT7
16:05:00,6E1168,Colombo (CMB),IndiGo,32N
16:05:00,6E7279,Tiruchirapalli (TRZ),IndiGo,AT7
16:10:00,6E422,Visakhapatnam (VTZ),IndiGo,32N
16:10:00,6E2514,Delhi (DEL),IndiGo,32N
16:15:00,QP1384,Bhubaneswar (BBI),Akasa Air,7M8
16:20:00,AI502,Delhi (DEL),Air India,321
16:20:00,QP1397,Goa (GOX),Akasa Air,7M8
16:25:00,6E6257,Kolkata (CCU),IndiGo,32A
16:30:00,RA225,Kathmandu (KTM),Nepal Airlines,320
16:30:00,6E6128,Jodhpur (JDH),IndiGo,32Q
16:30:00,9I510,Gulbarga (GBI),Alliance Air,AT7
16:40:00,6E5294,Mumbai (BOM),IndiGo,32Q
16:45:00,UK819,Delhi (DEL),Vistara,321
16:50:00,6E7182,Tuticorin (TCR),IndiGo,AT7
16:55:00,6E6508,Rajkot (HSR),IndiGo,32A
17:00:00,6E152,Port Blair (IXZ),IndiGo,32N
17:05:00,6E758,Ahmedabad (AMD),IndiGo,32Q
17:05:00,6E968,Cochin (COK),IndiGo,32Q
17:05:00,6E6534,Bareilly (BEK),IndiGo,32N
