Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_Time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
UK868,Vistara,Bengaluru,BLR,T2,Delhi ,DEL,09:45:00,2023-10-07,09:45:00,2023-10-07,320
AI505,Air India,Bengaluru,BLR,T2,Delhi ,DEL,09:50:00,2023-10-07,09:50:00,2023-10-07,321
6E496,IndiGo,Bengaluru,BLR,T1,Mangaluru ,IXE,09:55:00,2023-10-07,09:55:00,2023-10-07,32A
6E524,IndiGo,Bengaluru,BLR,T1,Imphal ,IMF,09:55:00,2023-10-07,09:55:00,2023-10-07,32Q
6E488,IndiGo,Bengaluru,BLR,T1,Mumbai ,BOM,10:15:00,2023-10-07,10:15:00,2023-10-07,32N
6E6583,IndiGo,Bengaluru,BLR,T1,Goa ,GOX,10:20:00,2023-10-07,10:20:00,2023-10-07,32Q
6E6533,IndiGo,Bengaluru,BLR,T1,Bareilly ,BEK,10:30:00,2023-10-07,10:30:00,2023-10-07,32N
6E871,IndiGo,Bengaluru,BLR,T1,Delhi ,DEL,10:30:00,2023-10-07,10:30:00,2023-10-07,32N
6E7203,IndiGo,Bengaluru,BLR,T1,Madurai ,IXM,10:35:00,2023-10-07,10:35:00,2023-10-07,AT7
EK565,Emirates,Bengaluru,BLR,T2,Dubai ,DXB,10:35:00,2023-10-07,10:35:00,2023-10-07,77W
6E6137,IndiGo,Bengaluru,BLR,T1,Kanpur ,KNU,10:40:00,2023-10-07,10:40:00,2023-10-07,32A
UK755,Vistara,Bengaluru,BLR,T2,Guwahati ,GAU,10:40:00,2023-10-07,10:40:00,2023-10-07,320
6E7257,IndiGo,Bengaluru,BLR,T1,Tirupati ,TIR,10:45:00,2023-10-07,10:45:00,2023-10-07,AT7
6E7445,IndiGo,Bengaluru,BLR,T1,Kolhapur ,KLH,10:50:00,2023-10-07,10:50:00,2023-10-07,AT7
I51622,AirAsia India,Bengaluru,BLR,T2,Kochi ,COK,10:55:00,2023-10-07,10:55:00,2023-10-07,A320
6E6032,IndiGo,Bengaluru,BLR,T1,Jodhpur ,JDH,11:00:00,2023-10-07,11:00:00,2023-10-07,32Q
6E133,IndiGo,Bengaluru,BLR,T1,Port Blair ,IXZ,11:05:00,2023-10-07,11:05:00,2023-10-07,32N
6E807,IndiGo,Bengaluru,BLR,T1,Vadodara ,BDQ,11:05:00,2023-10-07,11:05:00,2023-10-07,32Q
6E7071,IndiGo,Bengaluru,BLR,T1,Vijayawada ,VGA,11:10:00,2023-10-07,11:10:00,2023-10-07,AT7
I5741,AirAsia India,Bengaluru,BLR,T2,Srinagar ,SXR,11:15:00,2023-10-07,11:15:00,2023-10-07,A320
6E6535,IndiGo,Bengaluru,BLR,T1,Bhubaneswar ,BBI,11:20:00,2023-10-07,11:20:00,2023-10-07,32Q
6E232,IndiGo,Bengaluru,BLR,T1,Shirdi ,SAG,11:20:00,2023-10-07,11:20:00,2023-10-07,32N
6E336,IndiGo,Bengaluru,BLR,T1,Raipur ,RPR,11:25:00,2023-10-07,11:25:00,2023-10-07,32Q
UK657,Vistara,Bengaluru,BLR,T2,Chandigarh ,IXC,11:30:00,2023-10-07,11:30:00,2023-10-07,320
UK816,Vistara,Bengaluru,BLR,T2,Delhi ,DEL,11:30:00,2023-10-07,11:30:00,2023-10-07,320
